     0.591 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.593 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffdbc919b78, sigsetsize: 8      ) = 0
     0.607 ([33m 0.094 ms[m): sleep/8 execve(filename: 0x455dba36, argv: 0x7ffdbc919e20                     ) = 0
     0.716 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55a50b060000
     0.729 ( 0.004 ms): sleep/8 access(filename: 0xa4bb44e7                                           ) = -1 ENOENT No such file or directory
     0.735 ( 0.002 ms): sleep/8 access(filename: 0xa4bb6c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.739 ( 0.004 ms): sleep/8 open(filename: 0xa4bb4988, flags: CLOEXEC                             ) = 3
     0.744 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd7e716050                                  ) = 0
     0.747 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f2ca4db6000
     0.751 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.755 ( 0.002 ms): sleep/8 access(filename: 0xa4bb44e7                                           ) = -1 ENOENT No such file or directory
     0.759 ( 0.005 ms): sleep/8 open(filename: 0xa4dbcd68, flags: CLOEXEC                             ) = 3
     0.765 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffd7e7161f8, count: 832                           ) = 832
     0.769 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd7e716090                                  ) = 0
     0.773 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f2ca4db4000
     0.779 ( 0.004 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f2ca47f8000
