         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.024 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55699b5f8000
     0.803 ( 0.002 ms): sleep/8 mmap(addr: 0x7fec71d48000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fec71d48000
     0.809 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.819 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140653500998784                        ) = 0
     0.853 ( 0.003 ms): sleep/8 mprotect(start: 0x7fec71d42000, len: 16384, prot: READ                ) = 0
     0.859 ( 0.002 ms): sleep/8 mprotect(start: 0x561e842e1000, len: 4096, prot: READ                 ) = 0
     0.863 ( 0.002 ms): sleep/8 mprotect(start: 0x7fec71f6f000, len: 4096, prot: READ                 ) = 0
     0.866 ( 0.003 ms): sleep/8 munmap(addr: 0x7fec71f6b000, len: 13580                               ) = 0
     0.911 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x561e84baa000
     0.914 ( 0.002 ms): sleep/8 brk(brk: 0x561e84bcb000                                               ) = 0x561e84bcb000
     0.927 ([33m 0.055 ms[m): sleep/8 nanosleep(rqtp: 0x7ffd75728140                                        ) = 0
     0.989 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     0.991 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     0.995 (     ?   ): sleep/8 exit_group(                                                           )
     0.250 ([33m 0.431 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     0.684 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.687 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc81612578, count: 4                             ) = 0
     0.690 ( 0.005 ms): pesquisaOverhe/7 munmap(addr: 0x7fb5299c7000, len: 36864                               ) = 0
     0.696 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.701 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffc81612608, sigsetsize: 8      ) = 0
     0.712 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
