         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.538 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.540 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.542 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.544 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.547 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.549 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.551 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.554 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.556 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.558 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.560 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.563 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.565 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.567 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.570 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.572 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.574 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.576 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
